Scenario, Experiment Name, Total Agents, # Distracted Agents, Simulation Time, Flow Rate, Average Agent Path Length
Egress,No distraction,50,0,36.55077,1.36796,18.225
Egress,No distraction,50,0,34.10422,1.466094,17.63091
Egress,No distraction,50,0,35.1641,1.421905,18.05177
Egress,No distraction,50,0,36.12668,1.384019,18.33488
Egress,No distraction,50,0,35.03276,1.427235,17.35878
Egress,No distraction,50,0,33.46909,1.493916,18.12623
Egress,No distraction,50,0,38.57797,1.296076,17.80426
Egress,No distraction,50,0,34.11623,1.465578,17.76277
Egress,No distraction,50,0,36.01215,1.38842,18.14091
Egress,No distraction,50,0,33.99564,1.470777,18.20387
Egress,No distraction,50,0,39.18402,1.27603,17.74665
Egress,No distraction,50,0,36.74576,1.360701,17.42567
Egress,No distraction,50,0,34.17419,1.463092,16.91466
Egress,No distraction,50,0,30.00552,1.66636,17.87373
Egress,No distraction,50,0,37.97119,1.316788,17.50192
Egress,No distraction,50,0,32.98828,1.51569,17.85419
Egress,No distraction,50,0,36.67816,1.363209,17.87445
Egress,No distraction,50,0,31.76581,1.574019,18.08218
Egress,No distraction,50,0,32.12598,1.556373,17.3518
Egress,No distraction,50,0,33.58252,1.48887,17.62949
Egress,Walk and Text,50,1,38.60104,1.295302,18.03579
Egress,Walk and Text,50,1,32.22773,1.551459,17.29053
Egress,Walk and Text,50,1,34.8448,1.434934,18.49566
Egress,Walk and Text,50,1,40.18297,1.244308,17.9272
Egress,Walk and Text,50,1,33.18622,1.506649,17.53504
Egress,Walk and Text,50,1,35.92477,1.391797,18.03826
Egress,Walk and Text,50,1,32.45396,1.540644,17.80712
Egress,Walk and Text,50,1,34.74043,1.439245,18.31244
Egress,Walk and Text,50,1,34.56598,1.446509,17.22387
Egress,Walk and Text,50,1,32.16605,1.554434,17.72329
Egress,Walk and Text,50,1,32.75278,1.526588,17.75409
Egress,Walk and Text,50,1,34.56207,1.446672,17.19343
Egress,Walk and Text,50,1,34.75781,1.438526,17.73733
Egress,Walk and Text,50,1,37.7818,1.323389,17.74603
Egress,Walk and Text,50,1,33.42456,1.495906,17.60359
Egress,Walk and Text,50,1,33.41998,1.496111,17.55342
Egress,Walk and Text,50,1,34.42786,1.452312,17.61366
Egress,Walk and Text,50,1,32.39063,1.543657,17.26644
Egress,Walk and Text,50,1,38.13715,1.311058,18.10147
Egress,Walk and Text,50,1,39.17285,1.276394,18.65823
Egress,Walk and Text,50,2,36.04937,1.386987,17.46818
Egress,Walk and Text,50,2,32.41993,1.542261,18.00442
Egress,Walk and Text,50,2,30.92463,1.616834,17.79436
Egress,Walk and Text,50,2,32.89741,1.519877,18.17277
Egress,Walk and Text,50,2,31.8157,1.571551,17.52882
Egress,Walk and Text,50,2,33.55522,1.490081,18.0048
Egress,Walk and Text,50,2,36.47612,1.37076,17.85256
Egress,Walk and Text,50,2,36.16826,1.382428,17.83869
Egress,Walk and Text,50,2,34.77457,1.437832,17.95049
Egress,Walk and Text,50,2,37.29111,1.340802,17.96569
Egress,Walk and Text,50,2,37.63089,1.328696,17.98535
Egress,Walk and Text,50,2,35.55222,1.406382,17.23019
Egress,Walk and Text,50,2,31.77139,1.573743,17.33864
Egress,Walk and Text,50,2,33.60028,1.488083,17.36768
Egress,Walk and Text,50,2,31.58078,1.583241,18.3048
Egress,Walk and Text,50,2,33.46863,1.493936,18.27986
Egress,Walk and Text,50,2,35.37091,1.413591,18.22733
Egress,Walk and Text,50,2,35.6275,1.40341,17.65674
Egress,Walk and Text,50,2,36.60608,1.365893,18.16123
Egress,Walk and Text,50,2,34.35541,1.455375,17.9257
Egress,Walk and Text,50,5,40.05322,1.248339,17.75359
Egress,Walk and Text,50,5,34.20253,1.46188,17.75772
Egress,Walk and Text,50,5,34.43359,1.452071,17.49665
Egress,Walk and Text,50,5,34.93271,1.431323,17.62467
Egress,Walk and Text,50,5,38.11784,1.311722,17.35
Egress,Walk and Text,50,5,34.96516,1.429995,18.03902
Egress,Walk and Text,50,5,32.11934,1.556695,17.89158
Egress,Walk and Text,50,5,37.49028,1.333679,17.7739
Egress,Walk and Text,50,5,33.00656,1.51485,18.15466
Egress,Walk and Text,50,5,33.56616,1.489595,17.99331
Egress,Walk and Text,50,5,33.22684,1.504808,17.4668
Egress,Walk and Text,50,5,33.0134,1.514537,18.04495
Egress,Walk and Text,50,5,36.36954,1.374777,18.00459
Egress,Walk and Text,50,5,36.65781,1.363966,18.34911
Egress,Walk and Text,50,5,35.01178,1.428091,17.71445
Egress,Walk and Text,50,5,37.24976,1.342291,18.04451
Egress,Walk and Text,50,5,31.73962,1.575318,17.73808
Egress,Walk and Text,50,5,37.30493,1.340305,17.84005
Egress,Walk and Text,50,5,37.54089,1.331881,17.82589
Egress,Walk and Text,50,5,34.85583,1.43448,17.90685
Egress,Walk and Text,50,10,34.54344,1.447453,18.18339
Egress,Walk and Text,50,10,31.07692,1.608911,17.51319
Egress,Walk and Text,50,10,37.01271,1.350887,17.36797
Egress,Walk and Text,50,10,33.09661,1.510729,18.22264
Egress,Walk and Text,50,10,35.78264,1.397326,18.25666
Egress,Walk and Text,50,10,32.1257,1.556386,17.10991
Egress,Walk and Text,50,10,36.68109,1.3631,17.80585
Egress,Walk and Text,50,10,37.73323,1.325092,17.86376
Egress,Walk and Text,50,10,36.8298,1.357596,17.59942
Egress,Walk and Text,50,10,35.45401,1.410278,18.08767
Egress,Walk and Text,50,10,34.14639,1.464283,17.50815
Egress,Walk and Text,50,10,38.46927,1.299739,17.8417
Egress,Walk and Text,50,10,29.64627,1.686553,17.95688
Egress,Walk and Text,50,10,33.00934,1.514723,17.90833
Egress,Walk and Text,50,10,34.05505,1.468211,17.57973
Egress,Walk and Text,50,10,36.37592,1.374536,17.71029
Egress,Walk and Text,50,10,35.41321,1.411903,17.70148
Egress,Walk and Text,50,10,34.04541,1.468627,17.76728
Egress,Walk and Text,50,10,32.14587,1.55541,17.9481
Egress,Walk and Text,50,10,36.66669,1.363636,17.23382
Egress,Walk and Text,50,20,38.65106,1.293626,17.86095
Egress,Walk and Text,50,20,31.11127,1.607135,17.05445
Egress,Walk and Text,50,20,34.0592,1.468032,17.77237
Egress,Walk and Text,50,20,34.55585,1.446933,17.10779
Egress,Walk and Text,50,20,30.68143,1.62965,17.78593
Egress,Walk and Text,50,20,33.7446,1.481719,17.49219
Egress,Walk and Text,50,20,34.92863,1.43149,17.78731
Egress,Walk and Text,50,20,33.6884,1.48419,17.92335
Egress,Walk and Text,50,20,34.77066,1.437994,17.5766
Egress,Walk and Text,50,20,35.13754,1.422979,17.82764
Egress,Walk and Text,50,20,34.41577,1.452822,18.04956
Egress,Walk and Text,50,20,33.29892,1.50155,17.61027
Egress,Walk and Text,50,20,33.78189,1.480083,18.14588
Egress,Walk and Text,50,20,36.0972,1.385149,17.74205
Egress,Walk and Text,50,20,34.31213,1.45721,17.71809
Egress,Walk and Text,50,20,36.42969,1.372507,18.03259
Egress,Walk and Text,50,20,33.50354,1.49238,17.87556
Egress,Walk and Text,50,20,32.88782,1.52032,17.65558
Egress,Walk and Text,50,20,34.96802,1.429878,18.13299
Egress,Walk and Text,50,20,33.19476,1.506262,18.20828
Egress,Walk and Text,50,30,39.42518,1.268225,18.02415
Egress,Walk and Text,50,30,35.18811,1.420935,17.7942
Egress,Walk and Text,50,30,35.9903,1.389263,18.20465
Egress,Walk and Text,50,30,35.50326,1.408321,18.15091
Egress,Walk and Text,50,30,35.74768,1.398692,17.72307
Egress,Walk and Text,50,30,36.22054,1.380432,17.38268
Egress,Walk and Text,50,30,32.59692,1.533887,17.41626
Egress,Walk and Text,50,30,36.55583,1.367771,17.42249
Egress,Walk and Text,50,30,37.07761,1.348523,17.86738
Egress,Walk and Text,50,30,39.03146,1.281018,17.768
Egress,Walk and Text,50,30,39.93298,1.252098,17.4831
Egress,Walk and Text,50,30,36.97928,1.352109,17.89441
Egress,Walk and Text,50,30,34.86447,1.434125,17.48075
Egress,Walk and Text,50,30,35.20532,1.42024,18.11139
Egress,Walk and Text,50,30,34.49753,1.449379,17.797
Egress,Walk and Text,50,30,33.45038,1.494751,17.59484
Egress,Walk and Text,50,30,35.97668,1.389789,17.86202
Egress,Walk and Text,50,30,36.00708,1.388616,17.5871
Egress,Walk and Text,50,30,35.48199,1.409165,18.22237
Egress,Walk and Text,50,30,36.34216,1.375812,18.0016
Egress,Walk and Text,50,40,35.52075,1.407628,17.92324
Egress,Walk and Text,50,40,40.33506,1.239616,18.44854
Egress,Walk and Text,50,40,34.91495,1.432051,17.63326
Egress,Walk and Text,50,40,36.0866,1.385556,18.54578
Egress,Walk and Text,50,40,35.93626,1.391352,17.82409
Egress,Walk and Text,50,40,33.84259,1.477428,18.22532
Egress,Walk and Text,50,40,32.71147,1.528516,17.75582
Egress,Walk and Text,50,40,37.53702,1.332018,17.64341
Egress,Walk and Text,50,40,34.44379,1.451641,18.06839
Egress,Walk and Text,50,40,31.98352,1.563305,17.97525
Egress,Walk and Text,50,40,33.09808,1.510661,18.05998
Egress,Walk and Text,50,40,35.20258,1.420351,17.69677
Egress,Walk and Text,50,40,32.45773,1.540465,17.80157
Egress,Walk and Text,50,40,33.48511,1.493201,17.90385
Egress,Walk and Text,50,40,36.85764,1.356571,18.44831
Egress,Walk and Text,50,40,31.73639,1.575479,17.41552
Egress,Walk and Text,50,40,38.89978,1.285354,17.31469
Egress,Walk and Text,50,40,35.17773,1.421354,17.67917
Egress,Walk and Text,50,40,32.27014,1.54942,17.619
Egress,Walk and Text,50,40,35.56793,1.405761,17.67483
Egress,Walk and Text,50,50,35.89502,1.392951,17.84468
Egress,Walk and Text,50,50,33.20934,1.505601,17.82812
Egress,Walk and Text,50,50,33.45578,1.49451,17.56699
Egress,Walk and Text,50,50,32.68404,1.529799,17.78951
Egress,Walk and Text,50,50,33.05275,1.512733,17.07682
Egress,Walk and Text,50,50,34.78992,1.437198,17.97636
Egress,Walk and Text,50,50,31.71335,1.576623,17.53868
Egress,Walk and Text,50,50,37.45982,1.334763,17.65014
Egress,Walk and Text,50,50,33.25836,1.503381,17.88491
Egress,Walk and Text,50,50,33.61151,1.487586,17.95759
Egress,Walk and Text,50,50,31.52216,1.586186,17.5625
Egress,Walk and Text,50,50,34.04065,1.468832,18.07349
Egress,Walk and Text,50,50,34.19202,1.46233,18.07472
Egress,Walk and Text,50,50,33.5253,1.491411,17.772
Egress,Walk and Text,50,50,33.46118,1.494269,17.73716
Egress,Walk and Text,50,50,36.33701,1.376008,18.00838
Egress,Walk and Text,50,50,33.97803,1.471539,17.7863
